,Engagements,Followers,Created,Type,Description,datetime,year,month,month_int,weekday,day_time,is_playoffs
1093,673466,35298222,2019-03-10 00:19:35 EST,Video,@kellyoubrejr takes it STRONG for the @suns!,2019-03-10 00:19:35,2019,March,3,Sunday,postgame,False
1094,719507,35298222,2019-03-09 23:17:37 EST,Video,Derrick Rose fades for the clutch OT bucket for the @timberwolves!,2019-03-09 23:17:37,2019,March,3,Saturday,night,False
1095,598726,35298222,2019-03-09 23:12:27 EST,Video,@bosnianbeast27 & @moe_harkless throw down consecutive SLAMS for the @trailblazers!,2019-03-09 23:12:27,2019,March,3,Saturday,night,False
1096,848476,35298222,2019-03-09 22:41:51 EST,Video,@kyrieirving pulling out the tricks for the @celtics! #NBAonABC,2019-03-09 22:41:51,2019,March,3,Saturday,night,False
1097,471428,35298222,2019-03-09 22:34:34 EST,Photo,@kingjames notches his 7th triple-double of the season for the @lakers with 25p/11a/10r early in the 4th. #TripleDoubleAlert,2019-03-09 22:34:34,2019,March,3,Saturday,night,False
1098,719507,35298222,2019-03-09 22:32:15 EST,Video,You gotta box out @milesbridges!,2019-03-09 22:32:15,2019,March,3,Saturday,night,False
1099,1010320,35298222,2019-03-09 22:15:58 EST,Video,?? @kyrieirving in transition ?? #NBAonABC,2019-03-09 22:15:58,2019,March,3,Saturday,night,False
1100,656344,35298222,2019-03-09 22:02:05 EST,Video,"@traeyoung records the first triple-double by a rookie in @atlhawks franchise history with 23 points, 11 assists and 10 rebounds.",2019-03-09 22:02:05,2019,March,3,Saturday,night,False
1101,719507,35298222,2019-03-09 22:00:41 EST,Video,Derrick Rose crosses into the scoop for the @timberwolves!,2019-03-09 22:00:41,2019,March,3,Saturday,night,False
1102,857335,35298222,2019-03-09 21:03:25 EST,Video,@kingjames throws down a pair of slams off @rajonrondo dimes! #NBAonABC,2019-03-09 21:03:25,2019,March,3,Saturday,night,False
1103,719507,35298222,2019-03-09 20:42:43 EST,Video,@karltowns extends!!,2019-03-09 20:42:43,2019,March,3,Saturday,evening,False
1104,719507,35298222,2019-03-09 20:34:26 EST,Video,@youngamechanger with the impressive trick shot!,2019-03-09 20:34:26,2019,March,3,Saturday,evening,False
1105,704998,35276876,2019-03-09 18:29:47 EST,Video,"The @celtics move the ball to find the open man! #NBABreakdown
...
??: CELTICS/LAKERS
?: 8:30pm/et
??: #NBAonABC",2019-03-09 18:29:47,2019,March,3,Saturday,evening,False
1106,766590,35276876,2019-03-09 16:06:22 EST,Video,"LeBron’s historic bucket, as heard around the world! ...
??: CELTICS/LAKERS
?: 8:30pm/et
??: #NBAonABC",2019-03-09 16:06:22,2019,March,3,Saturday,afternoon,False
1107,418487,35276876,2019-03-09 13:40:53 EST,Photo,Tonight’s Saturday #NBAonABC Primetime features @celtics/@lakers... who ya got?,2019-03-09 13:40:53,2019,March,3,Saturday,afternoon,False
1108,398411,35276876,2019-03-09 03:59:05 EST,Photo,???? 1505 games played... the third most in @nbahistory! ????,2019-03-09 03:59:05,2019,March,3,Saturday,deadzone,False
1109,431438,35276876,2019-03-09 01:42:52 EST,Album,18 teams in action... nine winners Friday night!,2019-03-09 01:42:52,2019,March,3,Saturday,deadzone,False
1110,769772,35276876,2019-03-09 01:37:34 EST,Video,@klaythompson puts up 39 (including 9 threes) in his return to action for the @warriors!,2019-03-09 01:37:34,2019,March,3,Saturday,deadzone,False
1111,673478,35276876,2019-03-09 00:43:52 EST,Video,@dulenader2 punches it home for the @okcthunder!,2019-03-09 00:43:52,2019,March,3,Saturday,postgame,False
1112,843851,35276876,2019-03-09 00:09:29 EST,Video,The @warriors finish the first half 11/11 on ESPN!,2019-03-09 00:09:29,2019,March,3,Saturday,postgame,False
1113,665854,35276876,2019-03-08 23:01:57 EST,Video,@boogiecousins’ steal sets up the @easymoneysniper SLAM! (??: ESPN),2019-03-08 23:01:57,2019,March,3,Friday,night,False
1114,316911,35276876,2019-03-08 22:42:27 EST,Photo,@kyle_lowry7 notches his second triple-double of the season for the @raptors with 13p/12a/11r! #TripleDoubleAlert,2019-03-08 22:42:27,2019,March,3,Friday,night,False
1115,672456,35276876,2019-03-08 22:31:44 EST,Video,@jharden13 sets up @ccapela15 with the jump assist!,2019-03-08 22:31:44,2019,March,3,Friday,night,False
1116,618004,35276876,2019-03-08 21:57:03 EST,Video,@laclippers assistant coach @natalienakase prepares the team for tonight’s action! #InternationalWomensDay,2019-03-08 21:57:03,2019,March,3,Friday,night,False
1117,723159,35276876,2019-03-08 21:38:29 EST,Video,@stephencurry30 feeling BOUNCY!,2019-03-08 21:38:29,2019,March,3,Friday,night,False
1118,800725,35276876,2019-03-08 21:22:03 EST,Video,@jharden13 gets into the lane to beat the buzzer! (??: ESPN),2019-03-08 21:22:03,2019,March,3,Friday,night,False
1119,671996,35276876,2019-03-08 20:59:51 EST,Video,@_cd13 with the MAILMAN tribute SLAM!,2019-03-08 20:59:51,2019,March,3,Friday,evening,False
1120,665854,35276876,2019-03-08 20:33:51 EST,Video,@bensimmons’ block sets up the @tobiasharris SLAM! (??: ESPN),2019-03-08 20:33:51,2019,March,3,Friday,evening,False
1121,316911,35276876,2019-03-08 19:41:54 EST,Photo,Congrats to @swish41 of the @dallasmavs for moving up to 3rd on the all-time GAMES PLAYED list! #MFFL,2019-03-08 19:41:54,2019,March,3,Friday,evening,False
1122,520824,35254508,2019-03-08 14:40:48 EST,Video,“Who’s one woman that inspires you and why” @iisuperwomanii sits down with @blakegriffin23 and @damianlillard! #InternationalWomensDay,2019-03-08 14:40:48,2019,March,3,Friday,afternoon,False
1123,332859,35254508,2019-03-08 13:26:59 EST,Album,The STAT LEADERS among #NBARooks ahead of tonight’s action!,2019-03-08 13:26:59,2019,March,3,Friday,afternoon,False
1124,302502,35254508,2019-03-08 12:24:57 EST,Photo,"With @damianlillard’s 51 last night, 10 players have scored 50 in a game this season, which matches the NBA single-season record!",2019-03-08 12:24:57,2019,March,3,Friday,lunch,False
1125,629007,35254508,2019-03-08 02:17:36 EST,Video,@damianlillard puts up a season-high 51 for the @trailblazers!,2019-03-08 02:17:36,2019,March,3,Friday,deadzone,False
1126,324054,35254508,2019-03-08 01:47:52 EST,Album,The @bucks and @okcthunder each prevail in Thursday’s action!,2019-03-08 01:47:52,2019,March,3,Friday,deadzone,False
1127,629007,35254508,2019-03-08 01:36:38 EST,Video,@fergski23’s block sets up @russwest44 in transition late!,2019-03-08 01:36:38,2019,March,3,Friday,deadzone,False
1128,398682,35254508,2019-03-08 01:02:39 EST,Photo,0??x0??,2019-03-08 01:02:39,2019,March,3,Friday,deadzone,False
1129,613015,35254508,2019-03-07 22:31:30 EST,Video,@giannis_an34 continues to get it done on both ends for the @bucks!,2019-03-07 22:31:30,2019,March,3,Thursday,night,False
1130,665866,35254508,2019-03-07 22:21:07 EST,Video,@t.snell_ gets into the lane off the dribble! (??: @nbaontnt),2019-03-07 22:21:07,2019,March,3,Thursday,night,False
1131,672008,35254508,2019-03-07 22:11:36 EST,Video,Can you name all 50 states in 30 seconds like @sterlingbrown23??,2019-03-07 22:11:36,2019,March,3,Thursday,night,False
1132,665866,35254508,2019-03-07 21:09:38 EST,Video,@giannis_an34 on both ends! (??: @nbaontnt),2019-03-07 21:09:38,2019,March,3,Thursday,night,False
1133,340656,35254508,2019-03-07 20:20:35 EST,Photo,"It’s been a career year for @ygtrece across the board! ...
??: THUNDER/BLAZERS
?: 10:30pm/et
??: @nbaontnt",2019-03-07 20:20:35,2019,March,3,Thursday,evening,False
1134,516610,35254508,2019-03-07 18:59:03 EST,Video,"Ahead of tonight’s @trailblazers action (10:30pm/et @nbaontnt), we showcase @damianlillard’s handles!",2019-03-07 18:59:03,2019,March,3,Thursday,evening,False
1135,745289,35230365,2019-03-07 14:21:43 EST,Video,3??2??1??... the BEST PLAYS by the #MTNDEWICERisingStars in February!,2019-03-07 14:21:43,2019,March,3,Thursday,afternoon,False
1136,416721,35230365,2019-03-07 02:15:47 EST,Album,The gamers!,2019-03-07 02:15:47,2019,March,3,Thursday,deadzone,False
1137,689552,35230365,2019-03-07 00:54:00 EST,Video,Will Barton protects the rim for the @nuggets!,2019-03-07 00:54:00,2019,March,3,Thursday,postgame,False
1138,1010172,35230365,2019-03-07 00:36:02 EST,Video,"@kingjames with the left, plus the foul! (??: ESPN)",2019-03-07 00:36:02,2019,March,3,Thursday,postgame,False
1139,629018,35230365,2019-03-07 00:34:47 EST,Video,@gordonhayward fades for the clutch @celtics bucket!,2019-03-07 00:34:47,2019,March,3,Thursday,postgame,False
1140,416721,35230365,2019-03-07 00:05:50 EST,Album,Moving on up...,2019-03-07 00:05:50,2019,March,3,Thursday,postgame,False
1141,650303,35230365,2019-03-07 00:00:43 EST,Video,History in Motion! #PhantomCam,2019-03-07 00:00:43,2019,March,3,Thursday,postgame,False
1142,906348,35230365,2019-03-06 23:52:36 EST,Video,Thank You MJ - @kingjames,2019-03-06 23:52:36,2019,March,3,Wednesday,postgame,False
1143,906348,35230365,2019-03-06 23:37:32 EST,Video,@kingjames reflects!,2019-03-06 23:37:32,2019,March,3,Wednesday,postgame,False
1144,375475,35230365,2019-03-06 23:35:16 EST,Photo,"32,294!",2019-03-06 23:35:16,2019,March,3,Wednesday,postgame,False
1145,984489,35230365,2019-03-06 23:33:41 EST,Video,“The legend of @kingjames continues!” (??: ESPN),2019-03-06 23:33:41,2019,March,3,Wednesday,postgame,False
1146,906348,35230365,2019-03-06 23:31:17 EST,Video,"With this bucket, @kingjames passes Michael Jordan for 4th on the NBA’s ALL-TIME SCORING LIST!",2019-03-06 23:31:17,2019,March,3,Wednesday,postgame,False
1147,419528,35230365,2019-03-06 23:29:25 EST,Photo,Congrats to @KingJames of the @Lakers for moving up to 4th on the NBA’s ALL-TIME SCORING list! #LakeShow,2019-03-06 23:29:25,2019,March,3,Wednesday,night,False
1148,613026,35230365,2019-03-06 22:48:29 EST,Video,@zachlavine8 drives for the @chicagobulls win!,2019-03-06 22:48:29,2019,March,3,Wednesday,night,False
1149,672020,35230365,2019-03-06 22:46:46 EST,Video,@rudygobert27 rolls for the MONSTER SLAM!,2019-03-06 22:46:46,2019,March,3,Wednesday,night,False
1150,613026,35230365,2019-03-06 22:42:59 EST,Video,It’s GAMETIME on ESPN between the @lakers and @nuggets!,2019-03-06 22:42:59,2019,March,3,Wednesday,night,False
1151,665878,35230365,2019-03-06 22:01:39 EST,Video,@ry_arch15’s hustle sets up the @zachlavine8 SLAM! (??: ESPN),2019-03-06 22:01:39,2019,March,3,Wednesday,night,False
1152,613026,35230365,2019-03-06 21:55:48 EST,Video,@traeyoung gets into the lane for the @atlhawks!,2019-03-06 21:55:48,2019,March,3,Wednesday,night,False
1153,375475,35230365,2019-03-06 20:24:51 EST,Photo,"32,280 points.... 13 from 4th.... all-time.",2019-03-06 20:24:51,2019,March,3,Wednesday,evening,False
1154,729958,35230365,2019-03-06 20:16:43 EST,Video,?? @dloading in transition ??,2019-03-06 20:16:43,2019,March,3,Wednesday,evening,False
1155,613026,35230365,2019-03-06 20:08:45 EST,Video,Dedication.... ahead of @sixers/@chicagobulls on ESPN!,2019-03-06 20:08:45,2019,March,3,Wednesday,evening,False
1156,613026,35230365,2019-03-06 20:05:48 EST,Video,@ishsmith5 gets into the lane for the @detroitpistons!,2019-03-06 20:05:48,2019,March,3,Wednesday,evening,False
1157,613026,35230365,2019-03-06 20:05:11 EST,Video,@andredrummondd steps back to beat the buzzer for the @detroitpistons!,2019-03-06 20:05:11,2019,March,3,Wednesday,evening,False
1158,672032,35207961,2019-03-06 19:59:38 EST,Video,Nikola Jokic catches a ride in for tonight’s @nuggets action in LA (10:30pm/et ESPN)!,2019-03-06 19:59:38,2019,March,3,Wednesday,evening,False
1159,383937,35207961,2019-03-06 01:31:06 EST,Album,12 teams in action... six winners Tuesday night!,2019-03-06 01:31:06,2019,March,3,Wednesday,deadzone,False
1160,383937,35207961,2019-03-06 01:22:07 EST,Album,12 teams in action... six winners Tuesday night!,2019-03-06 01:22:07,2019,March,3,Wednesday,deadzone,False
1161,629030,35207961,2019-03-06 01:10:29 EST,Video,@gordonhayward puts up 30 off the @celtics bench in Oakland!,2019-03-06 01:10:29,2019,March,3,Wednesday,deadzone,False
1162,607434,35207961,2019-03-05 23:24:02 EST,Video,@fchwpo rises up for the @celtics SLAM! (??: @nbaontnt),2019-03-05 23:24:02,2019,March,3,Tuesday,night,False
1163,665890,35207961,2019-03-05 23:13:02 EST,Video,The @celtics move the ball! (??: @nbaontnt),2019-03-05 23:13:02,2019,March,3,Tuesday,night,False
1164,665890,35207961,2019-03-05 22:43:40 EST,Video,?? @karltowns punctuates the @timberwolves win ??,2019-03-05 22:43:40,2019,March,3,Tuesday,night,False
1165,742714,35207961,2019-03-05 22:42:29 EST,Video,A successful #CurryChallenge!,2019-03-05 22:42:29,2019,March,3,Tuesday,night,False
1166,672493,35207961,2019-03-05 22:34:25 EST,Video,@jharden13 dances on the perimeter for the @houstonrockets triple!,2019-03-05 22:34:25,2019,March,3,Tuesday,night,False
1167,613037,35207961,2019-03-05 22:06:55 EST,Video,@karltowns flushes it home for the @timberwolves!,2019-03-05 22:06:55,2019,March,3,Tuesday,night,False
1168,677514,35207961,2019-03-05 20:55:25 EST,Video,Derrick Rose gets into the lane for the @timberwolves! #NBAKicks,2019-03-05 20:55:25,2019,March,3,Tuesday,evening,False
1169,559221,35207961,2019-03-05 20:44:36 EST,Video,@bensimmons wraps it around to @tobiasharris for the @sixers!,2019-03-05 20:44:36,2019,March,3,Tuesday,evening,False
1170,570976,35182521,2019-03-05 17:57:44 EST,Video,"With the first pick in the 2019 @nba2kleague Draft, @utahjazzgaming selects Ria! #NBA2KLeague",2019-03-05 17:57:44,2019,March,3,Tuesday,evening,False
1171,686159,35182521,2019-03-05 14:16:59 EST,Video,Crossin’ up with the best #KumhoHandles from February’s NBA action!,2019-03-05 14:16:59,2019,March,3,Tuesday,afternoon,False
1172,575838,35182521,2019-03-05 12:39:03 EST,Video,"@cp3 (8.3apg) directs traffic for the @houstonrockets! #NBABreakdown
...
??: ROCKETS/RAPTORS
?: 8:00pm/et
??: @nbaontnt",2019-03-05 12:39:03,2019,March,3,Tuesday,lunch,False
1173,406429,35182521,2019-03-05 01:21:13 EST,Album,Swipe through to recap Monday’s seven games!,2019-03-05 01:21:13,2019,March,3,Tuesday,deadzone,False
1174,374220,35182521,2019-03-05 00:53:10 EST,Photo,@rajonrondo notches his first triple-double with the @lakers with 24p/11a/10r. #TripleDoubleAlert,2019-03-05 00:53:10,2019,March,3,Tuesday,postgame,False
1175,683274,35182521,2019-03-05 00:41:58 EST,Video,@rajonrondo’s up to 24 points with the transition bucket! (??: @nbatv),2019-03-05 00:41:58,2019,March,3,Tuesday,postgame,False
1176,613048,35182521,2019-03-04 23:46:49 EST,Video,Fave slam... @desmith4 or @swipathefox?,2019-03-04 23:46:49,2019,March,3,Monday,postgame,False
1177,618049,35182521,2019-03-04 23:27:35 EST,Video,@dwyanewade knew @kevin_huerter idolized him growing up... so he called him back to exchange jerseys! #OneLastDance,2019-03-04 23:27:35,2019,March,3,Monday,night,False
1178,607445,35182521,2019-03-04 23:12:36 EST,Video,@rajonrondo threads the needle to @kuz! (??: @nbatv),2019-03-04 23:12:36,2019,March,3,Monday,night,False
1179,672045,35182521,2019-03-04 22:05:44 EST,Video,@dwyanewade (23p/W) and Vince Carter (21p) go back & forth in Miami!,2019-03-04 22:05:44,2019,March,3,Monday,night,False
1180,613048,35182521,2019-03-04 21:57:20 EST,Video,@rich_holmes22 throws down the windmill for the @suns!,2019-03-04 21:57:20,2019,March,3,Monday,night,False
1181,613048,35182521,2019-03-04 21:09:49 EST,Video,@iamjustise with a lil flair to @bam1of1!,2019-03-04 21:09:49,2019,March,3,Monday,night,False
1182,323576,35182521,2019-03-04 21:04:04 EST,Photo,NBA Japan Games 2019 presented by Rakuten to feature the @houstonrockets & @raptors on October 8 & 10 at Saitama Super Arena in Japan.,2019-03-04 21:04:04,2019,March,3,Monday,night,False
1183,613048,35182521,2019-03-04 20:47:42 EST,Video,@lukadoncic from distance to end the first half on @nbatv!,2019-03-04 20:47:42,2019,March,3,Monday,evening,False
1184,672045,35182521,2019-03-04 20:39:51 EST,Video,@fearthefro95 takes it down the lane for the REVERSE!,2019-03-04 20:39:51,2019,March,3,Monday,evening,False
1185,356047,35182521,2019-03-04 20:30:02 EST,Photo,Congrats to VINCE CARTER of the @atlhawks for moving up to 20th on the NBA all-time SCORING list!,2019-03-04 20:30:02,2019,March,3,Monday,evening,False
1186,471293,35160936,2019-03-04 18:18:53 EST,Video,"Ahead of tonight’s @laclippers action (10:30pm/et @nbatv), we showcase @louwillville & @trezz24 off the bench!",2019-03-04 18:18:53,2019,March,3,Monday,evening,False
1187,615196,35160936,2019-03-04 13:29:26 EST,Video,"???? not in @_bigjayy_’s house! ...
??: MAVS/NETS
?: 7:30pm/et
??: @nbatv",2019-03-04 13:29:26,2019,March,3,Monday,afternoon,False
1188,344487,35160936,2019-03-04 09:59:25 EST,Photo,Join us in wishing @money23green of the @warriors a HAPPY 29th BIRTHDAY! #NBABDAY,2019-03-04 09:59:25,2019,March,3,Monday,morning,False
1189,391388,35160936,2019-03-03 22:19:25 EST,Album,Swipe through to recap Sunday’s 8 games!,2019-03-03 22:19:25,2019,March,3,Sunday,night,False
1190,719585,35160936,2019-03-03 21:30:51 EST,Video,"It didn’t count, but an incredible shot by @blakegriffin23!",2019-03-03 21:30:51,2019,March,3,Sunday,night,False
1191,606431,35141177,2019-03-03 18:54:23 EST,Video,@nikstauskas11 cuts in for the @cavs flush!,2019-03-03 18:54:23,2019,March,3,Sunday,evening,False
1192,664791,35141177,2019-03-03 17:20:24 EST,Video,@shai switches to the left!,2019-03-03 17:20:24,2019,March,3,Sunday,evening,False
1193,798054,35141177,2019-03-03 13:01:27 EST,Video,?? the game-changing performances from February’s NBA action! #GameChangers,2019-03-03 13:01:27,2019,March,3,Sunday,afternoon,False
1194,400216,35141177,2019-03-03 00:28:42 EST,Album,18 teams hit the floor on Saturday night!,2019-03-03 00:28:42,2019,March,3,Sunday,postgame,False
1195,673552,35141177,2019-03-03 00:04:15 EST,Video,@spidadmitchell puts up a career-high 46 to lead the @utahjazz to victory at home!,2019-03-03 00:04:15,2019,March,3,Sunday,postgame,False
1196,719598,35141177,2019-03-02 23:29:54 EST,Video,@spidadmitchell steps into a new career-high with 44!,2019-03-02 23:29:54,2019,March,3,Saturday,night,False
1197,719598,35141177,2019-03-02 23:09:28 EST,Video,@giannis_an34 rises up with the left!,2019-03-02 23:09:28,2019,March,3,Saturday,night,False
1198,788848,35141177,2019-03-02 23:02:00 EST,Video,Will Barton gets fancy in transition with the dish!,2019-03-02 23:02:00,2019,March,3,Saturday,night,False
1199,348116,35141177,2019-03-02 23:00:17 EST,Photo,@bensimmons notches his 10th triple-double of the season for the @sixers with 22p/15r/10a. #TripleDoubleAlert,2019-03-02 23:00:17,2019,March,3,Saturday,night,False
1200,656427,35141177,2019-03-02 22:22:33 EST,Video,@josh_j11 soars for the oop from @kellyoubrejr!,2019-03-02 22:22:33,2019,March,3,Saturday,night,False
1201,719598,35141177,2019-03-02 22:06:42 EST,Video,@_dfavors15 rolls for the MONSTER SLAM!,2019-03-02 22:06:42,2019,March,3,Saturday,night,False
1202,470942,35141177,2019-03-02 22:00:06 EST,Photo,Congrats to @KingJames of the @Lakers for moving up to 5th on the all-time FIELD GOALS MADE list!,2019-03-02 22:00:06,2019,March,3,Saturday,night,False
1203,885318,35141177,2019-03-02 21:54:47 EST,Video,@kingjames dishes a pair of slick dimes early for the @lakers in Phoenix!,2019-03-02 21:54:47,2019,March,3,Saturday,night,False
1204,719598,35141177,2019-03-02 21:25:50 EST,Video,@therea1djones sends it into the stands!,2019-03-02 21:25:50,2019,March,3,Saturday,night,False
1205,719598,35141177,2019-03-02 21:22:39 EST,Video,@rudygay takes it STRONG down the lane!,2019-03-02 21:22:39,2019,March,3,Saturday,night,False
1206,696941,35141177,2019-03-02 20:51:57 EST,Video,@jdot43 goes up & under to open up #NBAonABC scoring!,2019-03-02 20:51:57,2019,March,3,Saturday,evening,False
1207,788848,35141177,2019-03-02 20:46:09 EST,Video,That’s what they wanted!,2019-03-02 20:46:09,2019,March,3,Saturday,evening,False
1208,725467,35141177,2019-03-02 20:19:53 EST,Video,@therea1djones goes full #AirplaneMode!,2019-03-02 20:19:53,2019,March,3,Saturday,evening,False
1209,656427,35141177,2019-03-02 19:47:55 EST,Video,Like father like son.. @dwyanewade x @zmane2,2019-03-02 19:47:55,2019,March,3,Saturday,evening,False
1210,719598,35141177,2019-03-02 19:35:26 EST,Video,@turner_myles takes flight for the vicious SLAM!,2019-03-02 19:35:26,2019,March,3,Saturday,evening,False
1211,664803,35117322,2019-03-02 18:53:29 EST,Video,@blakegriffin23 gets flashy!,2019-03-02 18:53:29,2019,March,3,Saturday,evening,False
1212,587348,35117322,2019-03-02 18:05:32 EST,Video,"""Every time I hit the court... it's natural to me."" @bensimmons on his court vision for the @sixers ahead of #NBAonABC tip tonight (8:30pm/et)!",2019-03-02 18:05:32,2019,March,3,Saturday,evening,False
1213,332285,35117322,2019-03-02 15:45:16 EST,Album,The @bucks are the first to clinch a playoff berth as we check in with the latest NBA Standings!,2019-03-02 15:45:16,2019,March,3,Saturday,afternoon,False
1214,352233,35117322,2019-03-02 12:04:17 EST,Photo,Tonight’s #NBAonABC Saturday Primetime features @warriors/@sixers! ...who ya got?,2019-03-02 12:04:17,2019,March,3,Saturday,lunch,False
1215,430986,35117322,2019-03-02 01:26:46 EST,Album,Swipe through to recap a BUSY Friday night around the Association!,2019-03-02 01:26:46,2019,March,3,Saturday,deadzone,False
1216,635225,35117322,2019-03-02 01:08:58 EST,Video,@giannis_an34 throws it down with the left! #PhantomCam,2019-03-02 01:08:58,2019,March,3,Saturday,deadzone,False
1217,731635,35117322,2019-03-02 00:29:56 EST,Video,@giannis_an34 finishes ferociously for the @bucks! (??: ESPN),2019-03-02 00:29:56,2019,March,3,Saturday,postgame,False
1218,738384,35117322,2019-03-02 00:27:50 EST,Video,The fan halfcourt shot is GOOD for the second time this week at @staplescenterla!,2019-03-02 00:27:50,2019,March,3,Saturday,postgame,False
1219,984578,35117322,2019-03-01 23:49:14 EST,Video,?? @kingjames ??,2019-03-01 23:49:14,2019,March,3,Friday,postgame,False
1220,779795,35117322,2019-03-01 23:30:37 EST,Video,Poetry in Motion... @kingjames cuts for the SLAM! #PhantomCam,2019-03-01 23:30:37,2019,March,3,Friday,postgame,False
1221,613082,35117322,2019-03-01 23:30:30 EST,Video,@zachlavine8 (47/9/9/W) & @traeyoung (49/16/8) duel in epic 4OT finish!,2019-03-01 23:30:30,2019,March,3,Friday,postgame,False
1222,672081,35117322,2019-03-01 22:57:14 EST,Video,Kawhi Leonard gets to his spot for the @raptors winner!,2019-03-01 22:57:14,2019,March,3,Friday,night,False
1223,613082,35117322,2019-03-01 22:55:28 EST,Video,@dbook punches it home for the @suns!,2019-03-01 22:55:28,2019,March,3,Friday,night,False
1224,613082,35117322,2019-03-01 22:47:22 EST,Video,It’s GAMETIME between the @lakers and @bucks on ESPN!,2019-03-01 22:47:22,2019,March,3,Friday,night,False
1225,672081,35117322,2019-03-01 22:32:47 EST,Video,@traeyoung goes fullcourt to send it to double-OT!,2019-03-01 22:32:47,2019,March,3,Friday,night,False
1226,613082,35117322,2019-03-01 22:08:25 EST,Video,@traeyoung pulls up for the clutch @atlhawks triple!,2019-03-01 22:08:25,2019,March,3,Friday,night,False
1227,665938,35117322,2019-03-01 21:37:18 EST,Video,The @raptors move the ball in transition for the @normanpowell4 SLAM! (??: ESPN),2019-03-01 21:37:18,2019,March,3,Friday,night,False
1228,736758,35117322,2019-03-01 21:35:48 EST,Video,Vince Carter takes it down the lane string!,2019-03-01 21:35:48,2019,March,3,Friday,night,False
1229,665938,35117322,2019-03-01 20:49:49 EST,Video,@damianlillard fakes into the SLAM for the @trailblazers! (??: ESPN),2019-03-01 20:49:49,2019,March,3,Friday,evening,False
1230,613082,35117322,2019-03-01 20:39:11 EST,Video,@kevin_huerter attacks for the @atlhawks!,2019-03-01 20:39:11,2019,March,3,Friday,evening,False
1231,392344,35117322,2019-03-01 20:25:32 EST,Album,???? @kingjames puts in early work ahead of tonight’s @bucks/@lakers action (10:30pm/et ESPN)!,2019-03-01 20:25:32,2019,March,3,Friday,evening,False
1232,348348,35117322,2019-03-01 19:54:42 EST,Photo,Congrats to Vince Carter of the @ATLHawks for moving up to 6th on the all-time GAMES PLAYED list! #TrueToAtlanta,2019-03-01 19:54:42,2019,March,3,Friday,evening,False
1233,319075,35095519,2019-03-01 18:22:37 EST,Photo,The @bucks look to remain ???? in LA (10:30pm/et @nbaonespn)!,2019-03-01 18:22:37,2019,March,3,Friday,evening,False
1234,571017,35095519,2019-03-01 17:10:45 EST,Video,@lukadoncic of the @dallasmavs named Western Conference Kia NBA Rookie of the Month for February! #KiaROTM,2019-03-01 17:10:45,2019,March,3,Friday,evening,False
1235,571017,35095519,2019-03-01 17:09:11 EST,Video,@giannis_an34 of the @bucks named Eastern Conference Kia NBA Player of the Month for February! #KiaPOTM,2019-03-01 17:09:11,2019,March,3,Friday,evening,False
1236,571017,35095519,2019-03-01 17:05:01 EST,Video,@ygtrece of the @okcthunder named Western Conference Kia NBA Player of the Month for February! #KiaPOTM,2019-03-01 17:05:01,2019,March,3,Friday,evening,False
1237,308618,35095519,2019-03-01 15:19:17 EST,Photo,WHO YA GOT in tonight’s @bucks/@lakers action on ESPN? ???? #KiaWhoYaGot,2019-03-01 15:19:17,2019,March,3,Friday,afternoon,False
1238,566397,35095519,2019-03-01 13:24:43 EST,Video,"Ahead of tonight’s @raptors action (8:00pm/et ESPN vs. Portland), we showcase @marcgasol’s impact!",2019-03-01 13:24:43,2019,March,3,Friday,afternoon,False
1239,268951,35095519,2019-03-01 12:21:43 EST,Album,?? the stat leaders among #NBARooks ahead of tonight’s action!,2019-03-01 12:21:43,2019,March,3,Friday,lunch,False
1240,391947,35095519,2019-03-01 01:45:19 EST,Album,12 teams hit the floor Thursday night!,2019-03-01 01:45:19,2019,March,3,Friday,deadzone,False
1241,623337,35095519,2019-03-01 00:48:18 EST,Video,@_dfavors15 powers it in for the @utahjazz! (??: @nbaontnt),2019-03-01 00:48:18,2019,March,3,Friday,postgame,False
1242,653453,35095519,2019-02-28 23:53:44 EST,Video,@joeingles7 sets up @rudygobert27! (??: @nbaontnt),2019-02-28 23:53:44,2019,February,2,Thursday,postgame,False
1243,723440,35095519,2019-02-28 23:28:24 EST,Video,"@jharden13 puts up 58 points, 10 assists & 7 rebounds to lead the @houstonrockets comeback!",2019-02-28 23:28:24,2019,February,2,Thursday,night,False
1244,434210,35095519,2019-02-28 23:19:53 EST,Photo,Bigger than ball! #OneLastDance,2019-02-28 23:19:53,2019,February,2,Thursday,night,False
1245,441210,35095519,2019-02-28 23:10:29 EST,Photo,3??x3?? #OneLastDance,2019-02-28 23:10:29,2019,February,2,Thursday,night,False
1246,394610,35095519,2019-02-28 23:05:39 EST,Photo,@jharden13 puts up his sixth 50-point game of the season with 58 tonight!,2019-02-28 23:05:39,2019,February,2,Thursday,night,False
1247,358622,35095519,2019-02-28 22:50:23 EST,Photo,@russwest44 secures his 25th triple-double of the season for the @okcthunder with 23/11/11. #TripleDoubleAlert,2019-02-28 22:50:23,2019,February,2,Thursday,night,False
1248,358622,35095519,2019-02-28 22:49:03 EST,Photo,@bensimmons secures his 9th triple-double of the season for the @sixers with 11/13/11! #TripleDoubleAlert,2019-02-28 22:49:03,2019,February,2,Thursday,night,False
